Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Paises,Chrome 124.0.0.0,,,2024-05-21 15:24:46,2024-05-21 15:30:08,"5m - 21,819s",PASSED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/1 Paises/R01,Chrome 124.0.0.0,Inicio de Sesión en Agendamiento ADM,,2024-05-21 15:24:47,2024-05-21 15:25:03,"16,748s",PASSED
openBrowser(Url),Chrome 124.0.0.0,,,2024-05-21 15:24:47,2024-05-21 15:24:51,"3,805s",PASSED
maximizeWindow(),Chrome 124.0.0.0,,,2024-05-21 15:24:51,2024-05-21 15:24:51,"0,156s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:24:51,2024-05-21 15:24:53,"2,039s",PASSED
"setText(findTestObject(""ADM/0Inicio Sesion/input_Usuario""), Usuario)",Chrome 124.0.0.0,,,2024-05-21 15:24:53,2024-05-21 15:24:54,"1,153s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:24:54,2024-05-21 15:24:56,"2,004s",PASSED
"setText(findTestObject(""ADM/0Inicio Sesion/input_Clave""), Clave)",Chrome 124.0.0.0,,,2024-05-21 15:24:56,2024-05-21 15:24:57,"0,863s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:24:57,2024-05-21 15:24:59,"2,002s",PASSED
"click(findTestObject(""ADM/0Inicio Sesion/btn_IniciarSesion""))",Chrome 124.0.0.0,,,2024-05-21 15:24:59,2024-05-21 15:24:59,"0,492s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:24:59,2024-05-21 15:25:01,"2,002s",PASSED
"verifyElementPresent(findTestObject(""ADM/0Principal/a_Agendas""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:25:01,2024-05-21 15:25:02,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/0Principal/a_Citas""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:25:02,2024-05-21 15:25:02,"0,379s",PASSED
"verifyElementPresent(findTestObject(""ADM/0Principal/a_Configuracion""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:25:02,2024-05-21 15:25:03,"0,378s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:25:03,2024-05-21 15:25:03,"0,695s",PASSED
