Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3 Regionales,Chrome 124.0.0.0,,,2024-05-21 15:40:47,2024-05-21 15:45:33,"4m - 45,994s",FAILED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/3 Regionales/R30,Chrome 124.0.0.0,"Boton Regionales, verificar que se cargue la página y elementos correctamente",,2024-05-21 15:40:47,2024-05-21 15:41:09,"22,474s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:40:47,2024-05-21 15:41:03,"15,788s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:41:03,2024-05-21 15:41:04,"0,593s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_1 Distribucion geografica""))",Chrome 124.0.0.0,,,2024-05-21 15:41:04,2024-05-21 15:41:04,"0,651s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/0Principal/a_3 Regionales""))",Chrome 124.0.0.0,,,2024-05-21 15:41:04,2024-05-21 15:41:05,"0,713s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:41:05,2024-05-21 15:41:07,"2,004s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/btn_Buscar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:41:07,2024-05-21 15:41:07,"0,345s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:41:07,2024-05-21 15:41:08,"0,346s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/0 btn_NuevaRegional""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:41:08,2024-05-21 15:41:08,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/input_CodigoRegional""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:41:08,2024-05-21 15:41:08,"0,352s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/input_NombreRegional""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:41:08,2024-05-21 15:41:09,"0,347s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:41:09,2024-05-21 15:41:09,"0,615s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:41:09,2024-05-21 15:41:09,"0,015s",PASSED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/3 Regionales/R31,Chrome 124.0.0.0,El campo nombre no debe aceptar números o simbolos y el campo código sólo aceptará números.,,2024-05-21 15:41:09,2024-05-21 15:41:42,"32,234s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:41:10,2024-05-21 15:41:24,"14,827s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:41:24,2024-05-21 15:41:25,"0,617s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_1 Distribucion geografica""))",Chrome 124.0.0.0,,,2024-05-21 15:41:25,2024-05-21 15:41:26,"0,609s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/0Principal/a_3 Regionales""))",Chrome 124.0.0.0,,,2024-05-21 15:41:26,2024-05-21 15:41:26,"0,681s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:41:26,2024-05-21 15:41:28,"2,003s",PASSED
"setText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/input_CodigoRegional""), ""23tdgh"")",Chrome 124.0.0.0,,,2024-05-21 15:41:28,2024-05-21 15:41:29,"0,888s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/btn_Buscar""))",Chrome 124.0.0.0,,,2024-05-21 15:41:29,2024-05-21 15:41:30,"0,426s",PASSED
delay(7),Chrome 124.0.0.0,,,2024-05-21 15:41:30,2024-05-21 15:41:37,"7,015s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:41:37,2024-05-21 15:41:37,"0,529s",PASSED
"clearText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/input_CodigoRegional""))",Chrome 124.0.0.0,,,2024-05-21 15:41:37,2024-05-21 15:41:38,"0,478s",PASSED
"setText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/input_NombreRegional""), ""8574fgdfy"")",Chrome 124.0.0.0,,,2024-05-21 15:41:38,2024-05-21 15:41:39,"0,814s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/3Regionales/btn_Buscar""))",Chrome 124.0.0.0,,,2024-05-21 15:41:39,2024-05-21 15:41:39,"0,461s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:41:39,2024-05-21 15:41:41,"2,009s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:41:41,2024-05-21 15:41:42,"0,514s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:41:42,2024-05-21 15:41:42,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/3 Regionales/R32,Chrome 124.0.0.0,,,2024-05-21 15:41:42,2024-05-21 15:42:14,"31,978s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:41:42,2024-05-21 15:41:57,"14,740s",PASSED
