Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 Ciudades,Chrome 124.0.0.0,,,2024-05-21 15:45:42,2024-05-21 15:49:55,"4m - 13,447s",FAILED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/4 Ciudades/R43,Chrome 124.0.0.0,Boton Ciudades,,2024-05-21 15:45:42,2024-05-21 15:46:03,"20,827s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:45:43,2024-05-21 15:45:58,"15,826s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:45:58,2024-05-21 15:45:59,"0,594s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_1 Distribucion geografica""))",Chrome 124.0.0.0,,,2024-05-21 15:45:59,2024-05-21 15:46:00,"0,682s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/0Principal/a_4 Ciudades""))",Chrome 124.0.0.0,,,2024-05-21 15:46:00,2024-05-21 15:46:00,"0,736s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:46:00,2024-05-21 15:46:02,"2,001s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:46:02,2024-05-21 15:46:03,"0,663s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:46:03,2024-05-21 15:46:03,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/4 Ciudades/R45,Chrome 124.0.0.0,"Boton Buscar Ciudades, por código y por nombre",,2024-05-21 15:46:03,2024-05-21 15:46:37,"33,859s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:46:03,2024-05-21 15:46:18,"14,690s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:46:18,2024-05-21 15:46:19,"0,591s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_1 Distribucion geografica""))",Chrome 124.0.0.0,,,2024-05-21 15:46:19,2024-05-21 15:46:19,"0,651s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/0Principal/a_4 Ciudades""))",Chrome 124.0.0.0,,,2024-05-21 15:46:19,2024-05-21 15:46:20,"0,629s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:46:20,2024-05-21 15:46:22,"2,008s",PASSED
"setText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/4Ciudades/input_CodigoCiudad""), ""2"")",Chrome 124.0.0.0,,,2024-05-21 15:46:22,2024-05-21 15:46:23,"0,812s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:46:23,2024-05-21 15:46:25,"2,010s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/4Ciudades/btn_Buscar""))",Chrome 124.0.0.0,,,2024-05-21 15:46:25,2024-05-21 15:46:25,"0,457s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:46:25,2024-05-21 15:46:26,"0,565s",PASSED
delay(7),Chrome 124.0.0.0,,,2024-05-21 15:46:26,2024-05-21 15:46:33,"7,010s",PASSED
"clearText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/4Ciudades/input_CodigoCiudad""))",Chrome 124.0.0.0,,,2024-05-21 15:46:33,2024-05-21 15:46:33,"0,458s",PASSED
"setText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/4Ciudades/input_NombreCiudad""), ""Bogota"")",Chrome 124.0.0.0,,,2024-05-21 15:46:33,2024-05-21 15:46:34,"0,715s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:46:34,2024-05-21 15:46:36,"2,008s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/4Ciudades/btn_Buscar""))",Chrome 124.0.0.0,,,2024-05-21 15:46:36,2024-05-21 15:46:36,"0,424s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:46:36,2024-05-21 15:46:37,"0,531s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:46:37,2024-05-21 15:46:37,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/1 Distribucion Geografica/4 Ciudades/R46,Chrome 124.0.0.0,Boton Limpiar en ciudades,,2024-05-21 15:46:37,2024-05-21 15:47:03,"26,300s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:46:37,2024-05-21 15:46:52,"14,793s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:46:52,2024-05-21 15:46:53,"0,631s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_1 Distribucion geografica""))",Chrome 124.0.0.0,,,2024-05-21 15:46:53,2024-05-21 15:46:53,"0,611s",PASSED
"click(findTestObject(""ADM/1Configuracion/1Distribucion geografica/0Principal/a_4 Ciudades""))",Chrome 124.0.0.0,,,2024-05-21 15:46:53,2024-05-21 15:46:54,"0,656s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:46:54,2024-05-21 15:46:56,"2,009s",PASSED
"setText(findTestObject(""ADM/1Configuracion/1Distribucion geografica/4Ciudades/input_CodigoCiudad""), ""2"")",Chrome 124.0.0.0,,,2024-05-21 15:46:56,2024-05-21 15:46:57,"0,820s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:46:57,2024-05-21 15:46:59,"2,007s",PASSED
