Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Calendarios,Chrome 124.0.0.0,,,2024-05-21 15:50:05,2024-05-21 15:54:10,"4m - 4,675s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/1 Calendarios/R70,Chrome 124.0.0.0,"Jornadas de Attencion, se ven los botones Calendarios, Jornadas y Motivos por Oficina",,2024-05-21 15:50:05,2024-05-21 15:50:32,"26,350s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:50:06,2024-05-21 15:50:21,"15,798s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:50:21,2024-05-21 15:50:22,"0,582s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:50:22,2024-05-21 15:50:24,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:50:24,2024-05-21 15:50:25,"1,047s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:50:25,2024-05-21 15:50:27,"2,002s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_2 Jornadas""))",Chrome 124.0.0.0,,,2024-05-21 15:50:27,2024-05-21 15:50:28,"0,765s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:50:28,2024-05-21 15:50:30,"2,017s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/input_N Funcionarios""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:50:30,2024-05-21 15:50:30,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/textarea_Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:50:30,2024-05-21 15:50:31,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:50:31,2024-05-21 15:50:31,"0,393s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:50:31,2024-05-21 15:50:32,"0,627s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:50:32,2024-05-21 15:50:32,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/1 Calendarios/R71,Chrome 124.0.0.0,Boton Calendarios,,2024-05-21 15:50:32,2024-05-21 15:50:56,"24,418s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:50:32,2024-05-21 15:50:47,"14,589s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:50:47,2024-05-21 15:50:47,"0,527s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:50:47,2024-05-21 15:50:49,"2,006s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:50:49,2024-05-21 15:50:50,"0,586s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:50:50,2024-05-21 15:50:52,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_1 Calendarios""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:50:52,2024-05-21 15:50:52,"0,571s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:50:52,2024-05-21 15:50:54,"2,011s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/0 btn_Crear""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:50:54,2024-05-21 15:50:55,"0,394s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/a_Calendario base_Borrar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:50:55,2024-05-21 15:50:55,"0,407s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/td_Calendario base""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:50:55,2024-05-21 15:50:56,"0,392s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:50:56,2024-05-21 15:50:56,"0,514s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:50:56,2024-05-21 15:50:56,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/1 Calendarios/R72,Chrome 124.0.0.0,Boton Crear de lista de Calendarios,,2024-05-21 15:50:56,2024-05-21 15:51:23,"26,788s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:50:56,2024-05-21 15:51:11,"14,599s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:51:11,2024-05-21 15:51:11,"0,526s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:51:11,2024-05-21 15:51:13,"2,018s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:51:13,2024-05-21 15:51:14,"0,512s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:51:14,2024-05-21 15:51:16,"2,020s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_1 Calendarios""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:51:16,2024-05-21 15:51:17,"0,585s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:51:17,2024-05-21 15:51:19,"2,013s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/0 btn_Crear""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:51:19,2024-05-21 15:51:19,"0,454s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:51:19,2024-05-21 15:51:21,"2,012s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/0 btn_Crear(1)/btn_Cancelar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:51:21,2024-05-21 15:51:21,"0,409s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/0 btn_Crear(1)/btn_Nuevo""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:51:21,2024-05-21 15:51:22,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/1Calendarios/0 btn_Crear(1)/input_Nombre Calendario""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:51:22,2024-05-21 15:51:22,"0,362s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:51:22,2024-05-21 15:51:23,"0,602s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:51:23,2024-05-21 15:51:23,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/1 Calendarios/R73,Chrome 124.0.0.0,"Dias No Laborables, verificar que se activan",,2024-05-21 15:51:23,2024-05-21 15:51:56,"33,469s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:51:23,2024-05-21 15:51:38,"14,893s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:51:38,2024-05-21 15:51:39,"0,493s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:51:39,2024-05-21 15:51:41,"2,005s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:51:41,2024-05-21 15:51:41,"0,518s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:51:41,2024-05-21 15:51:43,"2,014s",PASSED
