Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 Jornadas,Chrome 124.0.0.0,,,2024-05-21 15:54:19,2024-05-21 15:59:12,"4m - 53,011s",FAILED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/2 Jornadas/R81,Chrome 124.0.0.0,"Jornadas, veririfcar que los elementos se encuentren presentes.",,2024-05-21 15:54:19,2024-05-21 15:54:45,"25,841s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:54:19,2024-05-21 15:54:35,"15,876s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:54:35,2024-05-21 15:54:36,"0,573s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:54:36,2024-05-21 15:54:38,"2,004s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:54:38,2024-05-21 15:54:38,"0,561s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:54:38,2024-05-21 15:54:40,"2,007s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_2 Jornadas""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:54:40,2024-05-21 15:54:41,"0,598s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:54:41,2024-05-21 15:54:43,"2,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/input_N Funcionarios""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:54:43,2024-05-21 15:54:43,"0,378s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/textarea_Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:54:43,2024-05-21 15:54:44,"0,407s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:54:44,2024-05-21 15:54:44,"0,393s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:54:44,2024-05-21 15:54:45,"0,678s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:54:45,2024-05-21 15:54:45,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/2 Jornadas/R82,Chrome 124.0.0.0,Campo texto,,2024-05-21 15:54:45,2024-05-21 15:55:09,"24,638s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:54:45,2024-05-21 15:55:00,"14,611s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:55:00,2024-05-21 15:55:00,"0,544s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:00,2024-05-21 15:55:02,"2,018s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:55:02,2024-05-21 15:55:03,"0,555s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:03,2024-05-21 15:55:05,"2,010s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_2 Jornadas""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:05,2024-05-21 15:55:06,"0,564s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:06,2024-05-21 15:55:08,"2,003s",PASSED
"setText(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Jornadas/input_Busqueda""), ""Bogota"")",Chrome 124.0.0.0,,,2024-05-21 15:55:08,2024-05-21 15:55:08,"0,859s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Jornadas/btn_Buscar""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:08,2024-05-21 15:55:09,"0,434s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Edicion Jornada/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:55:09,2024-05-21 15:55:09,"0,140s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:55:09,2024-05-21 15:55:09,"0,507s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:55:09,2024-05-21 15:55:09,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/2 Jornadas/R83,Chrome 124.0.0.0,"Buscar, validar con datos como 1, 11,",,2024-05-21 15:55:09,2024-05-21 15:55:33,"23,988s",FAILED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:10,2024-05-21 15:55:24,"14,495s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:55:24,2024-05-21 15:55:25,"0,660s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:25,2024-05-21 15:55:27,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:55:27,2024-05-21 15:55:27,"0,564s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:27,2024-05-21 15:55:29,"2,004s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_2 Jornadas""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:29,2024-05-21 15:55:30,"0,542s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:30,2024-05-21 15:55:32,"2,002s",PASSED
"comment(""La aplicación hace una busqueda en todos los campos incluidos los de hora y funcionarios"")",Chrome 124.0.0.0,,,2024-05-21 15:55:32,2024-05-21 15:55:32,"0,016s",PASSED
"setText(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Jornadas/input_Busqueda""), ""1"")",Chrome 124.0.0.0,,,2024-05-21 15:55:32,2024-05-21 15:55:33,"0,832s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Jornadas/btn_Buscar""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:33,2024-05-21 15:55:33,"0,429s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:55:33,2024-05-21 15:55:33,"0,104s",FAILED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:55:33,2024-05-21 15:55:33,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/2 Jornadas/R84,Chrome 124.0.0.0,Boton Limpiar en oficinas,,2024-05-21 15:55:33,2024-05-21 15:55:58,"24,764s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:34,2024-05-21 15:55:49,"14,729s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:55:49,2024-05-21 15:55:49,"0,611s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:49,2024-05-21 15:55:51,"2,001s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:55:51,2024-05-21 15:55:52,"0,563s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:52,2024-05-21 15:55:54,"2,006s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_2 Jornadas""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:54,2024-05-21 15:55:54,"0,580s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:55:54,2024-05-21 15:55:56,"2,001s",PASSED
"comment(""Se utiliza el boton limpiar, para borrar el campo de busqueda"")",Chrome 124.0.0.0,,,2024-05-21 15:55:56,2024-05-21 15:55:56,"0,000s",PASSED
"setText(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Jornadas/input_Busqueda""), ""Limpiar"")",Chrome 124.0.0.0,,,2024-05-21 15:55:56,2024-05-21 15:55:57,"0,845s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/2Jornadas/Jornadas/btn_Limpiar""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:55:57,2024-05-21 15:55:58,"0,426s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:55:58,2024-05-21 15:55:58,"0,548s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:55:58,2024-05-21 15:55:58,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/2 Jornadas/R85,Chrome 124.0.0.0,Se  debe verificar si crea ID correlativo,,2024-05-21 15:55:58,2024-05-21 15:56:38,"39,698s",PASSED
