Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3 Motivos x Oficina,Chrome 124.0.0.0,,,2024-05-21 15:59:20,2024-05-21 16:03:35,"4m - 14,741s",FAILED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/3 Motivos x Oficina/R92,Chrome 124.0.0.0,Motivos Por oficina,,2024-05-21 15:59:21,2024-05-21 15:59:47,"26,545s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:59:21,2024-05-21 15:59:37,"15,801s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 15:59:37,2024-05-21 15:59:37,"0,592s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:59:37,2024-05-21 15:59:39,"2,001s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 15:59:39,2024-05-21 15:59:40,"0,604s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:59:40,2024-05-21 15:59:42,"2,012s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_3 Motivos por oficina""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:59:42,2024-05-21 15:59:43,"0,630s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 15:59:43,2024-05-21 15:59:45,"2,002s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 15:59:45,2024-05-21 15:59:45,"0,567s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/textarea_Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:59:45,2024-05-21 15:59:46,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:59:46,2024-05-21 15:59:46,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:59:46,2024-05-21 15:59:46,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/btn_UP HH Inicio""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:59:46,2024-05-21 15:59:47,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/btn_UP HH Fin""), 2)",Chrome 124.0.0.0,,,2024-05-21 15:59:47,2024-05-21 15:59:47,"0,392s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 15:59:47,2024-05-21 15:59:47,"0,015s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/3 Motivos x Oficina/R93,Chrome 124.0.0.0,Mostrar captura para verificar los ID correlativos,,2024-05-21 15:59:47,2024-05-21 16:00:11,"23,456s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 15:59:48,2024-05-21 16:00:02,"14,779s",PASSED
"comment(""Mostrar captura para verificar los ID correlativos"")",Chrome 124.0.0.0,,,2024-05-21 16:00:02,2024-05-21 16:00:02,"0,016s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:00:02,2024-05-21 16:00:03,"0,639s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:03,2024-05-21 16:00:05,"2,002s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 16:00:05,2024-05-21 16:00:06,"0,551s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:06,2024-05-21 16:00:08,"2,029s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_3 Motivos por oficina""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:00:08,2024-05-21 16:00:08,"0,601s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:08,2024-05-21 16:00:10,"2,017s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:00:10,2024-05-21 16:00:11,"0,522s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:00:11,2024-05-21 16:00:11,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/3 Motivos x Oficina/R94,Chrome 124.0.0.0,"Boton Limpiar, limpiara datos ingresados",,2024-05-21 16:00:11,2024-05-21 16:00:42,"31,157s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:00:11,2024-05-21 16:00:26,"14,635s",PASSED
"comment(""Boton Limpiar"")",Chrome 124.0.0.0,,,2024-05-21 16:00:26,2024-05-21 16:00:26,"0,000s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:00:26,2024-05-21 16:00:26,"0,560s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:26,2024-05-21 16:00:28,"2,004s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_2 Jornadas de atencion""))",Chrome 124.0.0.0,,,2024-05-21 16:00:28,2024-05-21 16:00:29,"0,529s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:29,2024-05-21 16:00:31,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/0Principal/a_3 Motivos por oficina""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:00:31,2024-05-21 16:00:31,"0,612s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:31,2024-05-21 16:00:33,"2,004s",PASSED
"setText(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/textarea_Descripcion""), ""Esto es una prueba del Boton Limpiar"")",Chrome 124.0.0.0,,,2024-05-21 16:00:33,2024-05-21 16:00:34,"0,882s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:34,2024-05-21 16:00:36,"2,004s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:00:36,2024-05-21 16:00:37,"0,548s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:37,2024-05-21 16:00:39,"2,008s",PASSED
"click(findTestObject(""ADM/1Configuracion/2Jornadas de atencion/3Motivos Por Oficina/Motivos/btn_Limpiar""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:00:39,2024-05-21 16:00:39,"0,456s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:00:39,2024-05-21 16:00:41,"2,009s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:00:41,2024-05-21 16:00:42,"0,542s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:00:42,2024-05-21 16:00:42,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/2 Jornadas de Atencion/3 Motivos x Oficina/R95,Chrome 124.0.0.0,Boton Guardar,,2024-05-21 16:00:42,2024-05-21 16:01:21,"38,811s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:00:42,2024-05-21 16:00:57,"14,744s",PASSED
