Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 Paginas Por Rol,Chrome 124.0.0.0,,,2024-05-21 16:07:02,2024-05-21 16:11:14,"4m - 12,414s",FAILED
,,,,,,,
Test Cases/Configuracion/3 Seguridad/2 Paginas Por Rol/R110,Chrome 124.0.0.0,Pagina por rol,,2024-05-21 16:07:02,2024-05-21 16:07:28,"26,025s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:07:02,2024-05-21 16:07:18,"15,653s",PASSED
"comment(""Paginas por rol"")",Chrome 124.0.0.0,,,2024-05-21 16:07:18,2024-05-21 16:07:18,"0,016s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:07:18,2024-05-21 16:07:19,"0,595s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:19,2024-05-21 16:07:21,"2,001s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_3 Seguridad""))",Chrome 124.0.0.0,,,2024-05-21 16:07:21,2024-05-21 16:07:21,"0,517s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:21,2024-05-21 16:07:23,"2,015s",PASSED
"click(findTestObject(""ADM/1Configuracion/3Seguridad/0Principal/a_2 Paginas por rol""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:07:23,2024-05-21 16:07:24,"0,574s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:24,2024-05-21 16:07:26,"2,011s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/3Seguridad/2Paginas por Rol/Roles de Agendamiento/label_CIEL""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:07:26,2024-05-21 16:07:26,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/3Seguridad/2Paginas por Rol/Paginas por rol/btn_EditarPaginas""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:07:26,2024-05-21 16:07:26,"0,410s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:07:26,2024-05-21 16:07:28,"1,505s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:07:28,2024-05-21 16:07:28,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/3 Seguridad/2 Paginas Por Rol/R112,Chrome 124.0.0.0,Boton Ciel Muestra las páginas por rol,,2024-05-21 16:07:28,2024-05-21 16:07:55,"26,683s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:07:28,2024-05-21 16:07:43,"14,678s",PASSED
"comment(""Paginas por rol"")",Chrome 124.0.0.0,,,2024-05-21 16:07:43,2024-05-21 16:07:43,"0,000s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:07:43,2024-05-21 16:07:44,"0,629s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:44,2024-05-21 16:07:46,"2,015s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_3 Seguridad""))",Chrome 124.0.0.0,,,2024-05-21 16:07:46,2024-05-21 16:07:46,"0,579s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:46,2024-05-21 16:07:48,"2,006s",PASSED
"click(findTestObject(""ADM/1Configuracion/3Seguridad/0Principal/a_2 Paginas por rol""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:07:48,2024-05-21 16:07:49,"0,522s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:49,2024-05-21 16:07:51,"2,010s",PASSED
"click(findTestObject(""ADM/1Configuracion/3Seguridad/2Paginas por Rol/Roles de Agendamiento/label_CIEL""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:07:51,2024-05-21 16:07:51,"0,464s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:07:51,2024-05-21 16:07:53,"2,011s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:07:53,2024-05-21 16:07:55,"1,387s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:07:55,2024-05-21 16:07:55,"0,000s",PASSED
,,,,,,,
