Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Tipos de Usuario,Chrome 124.0.0.0,,,2024-05-21 16:16:50,2024-05-21 16:20:26,"3m - 36,124s",FAILED
,,,,,,,
Test Cases/Configuracion/4 Sistema/1 Tipos de Usuario/R129,Chrome 124.0.0.0,Sistema,,2024-05-21 16:16:50,2024-05-21 16:17:16,"25,728s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:16:50,2024-05-21 16:17:06,"15,806s",PASSED
"comment(""Verificar que los iconos de Sistema estén presentes"")",Chrome 124.0.0.0,,,2024-05-21 16:17:06,2024-05-21 16:17:06,"0,016s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:17:06,2024-05-21 16:17:07,"0,566s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:17:07,2024-05-21 16:17:09,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:17:09,2024-05-21 16:17:10,"1,347s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:17:10,2024-05-21 16:17:12,"2,016s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_1 Tipos de usuario""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:12,2024-05-21 16:17:13,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_2 Tipos de documento""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:13,2024-05-21 16:17:13,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_3 Parametros generales""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:13,2024-05-21 16:17:13,"0,362s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_4 Mensajes de inicio""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:13,2024-05-21 16:17:14,"0,346s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_5 Mensajes notificacion""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:14,2024-05-21 16:17:14,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_6 Modulos y personalizaciones""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:14,2024-05-21 16:17:14,"0,364s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_7 Motivos de cancelacion""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:14,2024-05-21 16:17:15,"0,376s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_8 Origenes""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:17:15,2024-05-21 16:17:15,"0,330s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:17:15,2024-05-21 16:17:16,"0,677s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:17:16,2024-05-21 16:17:16,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/1 Tipos de Usuario/R130,Chrome 124.0.0.0,Tipos de usuario. comproibación de elementos de la página,,2024-05-21 16:17:16,2024-05-21 16:17:41,"25,274s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:17:16,2024-05-21 16:17:31,"14,781s",PASSED
"comment(""Verificar elementos en Tipos de usuario"")",Chrome 124.0.0.0,,,2024-05-21 16:17:31,2024-05-21 16:17:31,"0,000s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:17:31,2024-05-21 16:17:32,"0,613s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:17:32,2024-05-21 16:17:34,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:17:34,2024-05-21 16:17:34,"0,558s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:17:34,2024-05-21 16:17:36,"2,008s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_1 Tipos de usuario""))",Chrome 124.0.0.0,,,2024-05-21 16:17:36,2024-05-21 16:17:37,"0,582s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:17:37,2024-05-21 16:17:39,"2,001s",PASSED
