Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 Tipos de Documento,Chrome 124.0.0.0,,,2024-05-21 16:20:35,2024-05-21 16:23:53,"3m - 17,655s",FAILED
,,,,,,,
Test Cases/Configuracion/4 Sistema/2 Tipos de Documento/R138,Chrome 124.0.0.0,Verificar elementos en tipos de documento,,2024-05-21 16:20:35,2024-05-21 16:21:03,"27,819s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:20:35,2024-05-21 16:20:51,"15,736s",PASSED
"comment(""Verificar elementos presentes"")",Chrome 124.0.0.0,,,2024-05-21 16:20:51,2024-05-21 16:20:51,"0,016s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:20:51,2024-05-21 16:20:52,"0,594s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:20:52,2024-05-21 16:20:54,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:20:54,2024-05-21 16:20:54,"0,597s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:20:54,2024-05-21 16:20:56,"2,016s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_2 Tipos de documento""))",Chrome 124.0.0.0,,,2024-05-21 16:20:56,2024-05-21 16:20:57,"0,600s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:20:57,2024-05-21 16:20:59,"2,003s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Codigo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:20:59,2024-05-21 16:20:59,"0,440s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Nombre""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:20:59,2024-05-21 16:21:00,"0,439s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Abreviatura""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:21:00,2024-05-21 16:21:00,"0,387s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Expresion Regular""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:21:00,2024-05-21 16:21:01,"0,367s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/label_Activo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:21:01,2024-05-21 16:21:01,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/label_Aplica Nombres y Apellidos""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:21:01,2024-05-21 16:21:01,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:21:01,2024-05-21 16:21:02,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:21:02,2024-05-21 16:21:02,"0,425s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:21:02,2024-05-21 16:21:03,"0,725s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:21:03,2024-05-21 16:21:03,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/2 Tipos de Documento/R140,Chrome 124.0.0.0,Boton Limpiar,,2024-05-21 16:21:03,2024-05-21 16:21:33,"30,521s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:21:03,2024-05-21 16:21:18,"14,632s",PASSED
"comment(""Boton Limpiar"")",Chrome 124.0.0.0,,,2024-05-21 16:21:18,2024-05-21 16:21:18,"0,002s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:21:18,2024-05-21 16:21:18,"0,533s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:21:18,2024-05-21 16:21:20,"2,004s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:21:20,2024-05-21 16:21:21,"0,567s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:21:21,2024-05-21 16:21:23,"2,015s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_2 Tipos de documento""))",Chrome 124.0.0.0,,,2024-05-21 16:21:23,2024-05-21 16:21:24,"0,513s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:21:24,2024-05-21 16:21:26,"2,005s",PASSED
"setText(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Codigo""), ""6"")",Chrome 124.0.0.0,,,2024-05-21 16:21:26,2024-05-21 16:21:26,"0,827s",PASSED
"setText(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Nombre""), ""Prueba"")",Chrome 124.0.0.0,,,2024-05-21 16:21:26,2024-05-21 16:21:27,"0,823s",PASSED
"setText(findTestObject(""ADM/1Configuracion/4Sistema/2Tipos de Documento/Edicion/input_Abreviatura""), ""PP"")",Chrome 124.0.0.0,,,2024-05-21 16:21:27,2024-05-21 16:21:28,"0,830s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:21:28,2024-05-21 16:21:30,"2,008s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:21:30,2024-05-21 16:21:31,"0,480s",PASSED
