Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3 Parametros Generales,Chrome 124.0.0.0,,,2024-05-21 16:24:02,2024-05-21 16:28:36,"4m - 34,397s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/3 Parametros Generales/R146,Chrome 124.0.0.0,,,2024-05-21 16:24:02,2024-05-21 16:24:31,"29,108s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:24:02,2024-05-21 16:24:18,"15,662s",PASSED
"comment(""Verificar elementos presentes"")",Chrome 124.0.0.0,,,2024-05-21 16:24:18,2024-05-21 16:24:18,"0,015s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:24:18,2024-05-21 16:24:19,"0,578s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:24:19,2024-05-21 16:24:21,"2,002s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:24:21,2024-05-21 16:24:21,"0,580s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:24:21,2024-05-21 16:24:23,"2,008s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_3 Parametros generales""))",Chrome 124.0.0.0,,,2024-05-21 16:24:23,2024-05-21 16:24:25,"1,464s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:24:25,2024-05-21 16:24:27,"2,008s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/btn_Editar 1""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:27,2024-05-21 16:24:27,"0,440s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/input_FiltroCodigo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:27,2024-05-21 16:24:28,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/click_FiltroCodigo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:28,2024-05-21 16:24:28,"0,393s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/click_FiltroCodigo""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:24:28,2024-05-21 16:24:28,"0,494s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/span_Igual a""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:28,2024-05-21 16:24:29,"0,530s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/span_Mayor""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:29,2024-05-21 16:24:29,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/span_Menor""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:29,2024-05-21 16:24:30,"0,391s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/span_Nulo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:24:30,2024-05-21 16:24:30,"0,393s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:24:30,2024-05-21 16:24:31,"1,029s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:24:31,2024-05-21 16:24:31,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/3 Parametros Generales/R147,Chrome 124.0.0.0,Boton Editar,,2024-05-21 16:24:31,2024-05-21 16:24:55,"23,889s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:24:32,2024-05-21 16:24:46,"14,621s",PASSED
"comment(""Boton Editar dirige a ventana modal"")",Chrome 124.0.0.0,,,2024-05-21 16:24:46,2024-05-21 16:24:46,"0,000s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:24:46,2024-05-21 16:24:47,"0,510s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:24:47,2024-05-21 16:24:49,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:24:49,2024-05-21 16:24:49,"0,570s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:24:49,2024-05-21 16:24:51,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_3 Parametros generales""))",Chrome 124.0.0.0,,,2024-05-21 16:24:51,2024-05-21 16:24:52,"0,697s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:24:52,2024-05-21 16:24:54,"2,016s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/3Parametros Generales/0 Por Codigo/btn_Editar 1""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:24:54,2024-05-21 16:24:55,"0,551s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:24:55,2024-05-21 16:24:55,"0,548s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:24:55,2024-05-21 16:24:55,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/3 Parametros Generales/R148,Chrome 124.0.0.0,"Colocar Datos en Valor 1, Valor 2, Valor 3",,2024-05-21 16:24:55,2024-05-21 16:25:25,"30,105s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:24:56,2024-05-21 16:25:10,"14,625s",PASSED
"comment(""Boton Editar dirige a ventana modal"")",Chrome 124.0.0.0,,,2024-05-21 16:25:10,2024-05-21 16:25:10,"0,000s",PASSED
