Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 Mensajes de Inicio,Chrome 124.0.0.0,,,2024-05-21 16:28:45,2024-05-21 16:32:46,"4m - 0,278s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/4 Mensaje de Inicio/R155,Chrome 124.0.0.0,Verificar elementos en pantalla mensaje de inicio,,2024-05-21 16:28:45,2024-05-21 16:29:16,"30,305s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:28:46,2024-05-21 16:29:01,"15,664s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:29:01,2024-05-21 16:29:02,"0,542s",PASSED
delay(3),Chrome 124.0.0.0,,,2024-05-21 16:29:02,2024-05-21 16:29:05,"3,007s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:29:05,2024-05-21 16:29:06,"0,599s",PASSED
delay(3),Chrome 124.0.0.0,,,2024-05-21 16:29:06,2024-05-21 16:29:09,"3,013s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_4 Mensajes de inicio""))",Chrome 124.0.0.0,,,2024-05-21 16:29:09,2024-05-21 16:29:10,"0,911s",PASSED
delay(3),Chrome 124.0.0.0,,,2024-05-21 16:29:10,2024-05-21 16:29:13,"3,011s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/4Mensajes de Inicio/Ventana Modal Clientes/btn_VistaPreviaUsuario""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:29:13,2024-05-21 16:29:13,"0,427s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/4Mensajes de Inicio/Ventana Modal Clientes/label_Habilitado""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:29:13,2024-05-21 16:29:13,"0,388s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/4Mensajes de Inicio/Ventana Modal Clientes/a_ModalVistaPrevia_Cerrar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:29:13,2024-05-21 16:29:14,"0,397s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/4Mensajes de Inicio/Ventana Modal Administradores/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:29:14,2024-05-21 16:29:14,"0,340s",PASSED
