Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
7 Motivos de Cancelacion,Chrome 124.0.0.0,,,2024-05-21 16:37:26,2024-05-21 16:40:20,"2m - 53,657s",FAILED
,,,,,,,
Test Cases/Configuracion/4 Sistema/7 Motivos de Cancelacion/R175,Chrome 124.0.0.0,Verfificacion elementos en pagina motivos de cancelacion,,2024-05-21 16:37:27,2024-05-21 16:37:54,"27,005s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:37:27,2024-05-21 16:37:43,"16,216s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:37:43,2024-05-21 16:37:44,"0,600s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:37:44,2024-05-21 16:37:46,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:37:46,2024-05-21 16:37:46,"0,541s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:37:46,2024-05-21 16:37:48,"2,009s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_7 Motivos de cancelacion""))",Chrome 124.0.0.0,,,2024-05-21 16:37:48,2024-05-21 16:37:49,"0,598s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:37:49,2024-05-21 16:37:51,"2,018s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/7Motivos de Cancelacion/Edicion/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:37:51,2024-05-21 16:37:51,"0,407s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/7Motivos de Cancelacion/Edicion/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:37:51,2024-05-21 16:37:52,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/7Motivos de Cancelacion/Edicion/input_Nombre""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:37:52,2024-05-21 16:37:52,"0,407s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/7Motivos de Cancelacion/Edicion/select_Tipo de Motivo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:37:52,2024-05-21 16:37:52,"0,361s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/7Motivos de Cancelacion/Edicion/textarea_Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:37:52,2024-05-21 16:37:53,"0,377s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:37:53,2024-05-21 16:37:54,"0,735s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:37:54,2024-05-21 16:37:54,"0,000s",PASSED
,,,,,,,
