Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
8 Origenes,Chrome 124.0.0.0,,,2024-05-21 16:40:28,2024-05-21 16:43:25,"2m - 56,601s",FAILED
,,,,,,,
Test Cases/Configuracion/4 Sistema/8 Origenes/R183,Chrome 124.0.0.0,Verificar elementos pagina Origenes,,2024-05-21 16:40:29,2024-05-21 16:40:56,"26,946s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:40:29,2024-05-21 16:40:45,"15,777s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:40:45,2024-05-21 16:40:45,"0,558s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:40:45,2024-05-21 16:40:47,"2,016s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:40:47,2024-05-21 16:40:48,"0,591s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:40:48,2024-05-21 16:40:50,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_8 Origenes""))",Chrome 124.0.0.0,,,2024-05-21 16:40:50,2024-05-21 16:40:51,"0,630s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:40:51,2024-05-21 16:40:53,"2,005s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:40:53,2024-05-21 16:40:53,"0,409s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:40:53,2024-05-21 16:40:53,"0,423s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/input_Codigo""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:40:53,2024-05-21 16:40:54,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/input_Nombre Origen""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:40:54,2024-05-21 16:40:54,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/select_Tipo Origen""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:40:54,2024-05-21 16:40:55,"0,376s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/textarea_Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:40:55,2024-05-21 16:40:55,"0,376s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:40:55,2024-05-21 16:40:56,"0,675s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:40:56,2024-05-21 16:40:56,"0,016s",PASSED
,,,,,,,
Test Cases/Configuracion/4 Sistema/8 Origenes/R184,Chrome 124.0.0.0,Campo nombre debe aceptar solo caracteres alfabeticos,,2024-05-21 16:40:56,2024-05-21 16:41:22,"26,770s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:40:56,2024-05-21 16:41:11,"14,789s",PASSED
"comment(""Campo nombre solo debe recibir caracteres alfabeticos"")",Chrome 124.0.0.0,,,2024-05-21 16:41:11,2024-05-21 16:41:11,"0,016s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:41:11,2024-05-21 16:41:11,"0,595s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:41:11,2024-05-21 16:41:13,"2,019s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_4 Sistema""))",Chrome 124.0.0.0,,,2024-05-21 16:41:13,2024-05-21 16:41:14,"0,513s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:41:14,2024-05-21 16:41:16,"2,018s",PASSED
"click(findTestObject(""ADM/1Configuracion/4Sistema/0Principal/a_8 Origenes""))",Chrome 124.0.0.0,,,2024-05-21 16:41:16,2024-05-21 16:41:16,"0,516s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:41:16,2024-05-21 16:41:18,"2,016s",PASSED
"setText(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/input_Codigo""), ""gdf"")",Chrome 124.0.0.0,,,2024-05-21 16:41:18,2024-05-21 16:41:19,"0,723s",PASSED
"setText(findTestObject(""ADM/1Configuracion/4Sistema/8Origenes/Edicion/input_Nombre Origen""), CampoPrueba)",Chrome 124.0.0.0,,,2024-05-21 16:41:19,2024-05-21 16:41:20,"0,733s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:41:20,2024-05-21 16:41:22,"2,000s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:41:22,2024-05-21 16:41:22,"0,500s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:41:22,2024-05-21 16:41:22,"0,000s",PASSED
