Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Maestro Clientes,Chrome 124.0.0.0,,,2024-05-21 16:43:34,2024-05-21 16:51:22,"7m - 47,519s",FAILED
,,,,,,,
Test Cases/Configuracion/5 Clientes/1 Maestro Clientes/R191,Chrome 124.0.0.0,Verificar elementos pagina maestro clientes,,2024-05-21 16:43:35,2024-05-21 16:44:03,"28,530s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:43:35,2024-05-21 16:43:51,"15,801s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:43:51,2024-05-21 16:43:51,"0,594s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:43:51,2024-05-21 16:43:53,"2,002s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:43:53,2024-05-21 16:43:55,"1,234s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:43:55,2024-05-21 16:43:57,"2,012s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_1 Maestro de clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:43:57,2024-05-21 16:43:57,"0,698s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:43:57,2024-05-21 16:43:59,"2,003s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/0 btn_Nuevo Cliente""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:43:59,2024-05-21 16:44:00,"0,441s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Nombre Usuario""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:00,2024-05-21 16:44:00,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Nombres""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:00,2024-05-21 16:44:01,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Apellidos""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:01,2024-05-21 16:44:01,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Identificacion""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:01,2024-05-21 16:44:01,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Telefono""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:01,2024-05-21 16:44:02,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Celular""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:02,2024-05-21 16:44:02,"0,409s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Mantenimiento de Clientes/input_Fecha penalizacion (ddmmaaaa)""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:02,2024-05-21 16:44:03,"0,377s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:44:03,2024-05-21 16:44:03,"0,674s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:44:03,2024-05-21 16:44:03,"0,016s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/1 Maestro Clientes/R192,Chrome 124.0.0.0,Boton nuevo cliente,,2024-05-21 16:44:03,2024-05-21 16:44:33,"30,213s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:44:04,2024-05-21 16:44:18,"14,704s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:44:18,2024-05-21 16:44:19,"0,543s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:44:19,2024-05-21 16:44:21,"2,006s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:44:21,2024-05-21 16:44:21,"0,549s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:44:21,2024-05-21 16:44:23,"2,016s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_1 Maestro de clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:44:23,2024-05-21 16:44:24,"0,624s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:44:24,2024-05-21 16:44:26,"2,010s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/0 btn_Nuevo Cliente""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:44:26,2024-05-21 16:44:27,"0,488s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:44:27,2024-05-21 16:44:27,"0,842s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:44:27,2024-05-21 16:44:29,"2,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/select_Tipo Identificacion""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:29,2024-05-21 16:44:30,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/input_Nombres""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:30,2024-05-21 16:44:30,"0,409s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/input_Apellidos""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:30,2024-05-21 16:44:31,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/input_Fecha Nacimiento (ddmmaaaa)""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:31,2024-05-21 16:44:31,"0,390s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/select_Genero""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:31,2024-05-21 16:44:31,"0,347s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/select_Pais""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:31,2024-05-21 16:44:32,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/select_Departamento""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:32,2024-05-21 16:44:32,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/select_Tipo Cliente""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:32,2024-05-21 16:44:32,"0,362s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/1Maestro de Clientes/Datos Cliente/select_Tipo Usuario""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:44:32,2024-05-21 16:44:33,"0,362s",PASSED
