Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 Politica de datos,Chrome 124.0.0.0,,,2024-05-21 16:51:31,2024-05-21 16:57:07,"5m - 36,496s",FAILED
,,,,,,,
Test Cases/Configuracion/5 Clientes/2 Politica de Tratamiento de datos/R204,Chrome 124.0.0.0,Verificar elementos de página de tratamiento de datos,,2024-05-21 16:51:31,2024-05-21 16:51:57,"26,187s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:51:31,2024-05-21 16:51:47,"15,732s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:51:47,2024-05-21 16:51:47,"0,570s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:51:47,2024-05-21 16:51:49,"2,008s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:51:49,2024-05-21 16:51:50,"0,590s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:51:50,2024-05-21 16:51:52,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_2 Politica de tratamiento de datos""))",Chrome 124.0.0.0,,,2024-05-21 16:51:52,2024-05-21 16:51:53,"0,587s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:51:53,2024-05-21 16:51:55,"2,012s",PASSED
"comment(""Verificar elementos"")",Chrome 124.0.0.0,,,2024-05-21 16:51:55,2024-05-21 16:51:55,"0,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/2Politica de Datos/Poltica de tratamiento de datos personales/label_Ninguno""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:51:55,2024-05-21 16:51:55,"0,442s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/2Politica de Datos/Poltica de tratamiento de datos personales/label_General""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:51:55,2024-05-21 16:51:55,"0,375s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/2Politica de Datos/Poltica de tratamiento de datos personales/label_Por oficina""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:51:55,2024-05-21 16:51:56,"0,427s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/2Politica de Datos/Maestro de Poltica de tratamiento de datos personales/btn_Crear Politica""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:51:56,2024-05-21 16:51:56,"0,390s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:51:56,2024-05-21 16:51:57,"0,682s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:51:57,2024-05-21 16:51:57,"0,016s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/2 Politica de Tratamiento de datos/R205,Chrome 124.0.0.0,Boton Ninguno,,2024-05-21 16:51:57,2024-05-21 16:52:25,"28,188s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:51:57,2024-05-21 16:52:12,"14,642s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:52:12,2024-05-21 16:52:13,"0,528s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:52:13,2024-05-21 16:52:15,"2,003s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:52:15,2024-05-21 16:52:15,"0,564s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:52:15,2024-05-21 16:52:17,"2,013s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_2 Politica de tratamiento de datos""))",Chrome 124.0.0.0,,,2024-05-21 16:52:17,2024-05-21 16:52:18,"0,517s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:52:18,2024-05-21 16:52:20,"2,002s",PASSED
"comment(""Boton Ninguno"")",Chrome 124.0.0.0,,,2024-05-21 16:52:20,2024-05-21 16:52:20,"0,004s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:52:20,2024-05-21 16:52:20,"0,580s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:52:20,2024-05-21 16:52:22,"2,012s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/2Politica de Datos/Poltica de tratamiento de datos personales/label_Ninguno""), STOP_ON_FAILURE)",Chrome 124.0.0.0,No mostrará nada en la tabla,,2024-05-21 16:52:22,2024-05-21 16:52:23,"0,485s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:52:23,2024-05-21 16:52:25,"2,006s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 16:52:25,2024-05-21 16:52:25,"0,450s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 16:52:25,2024-05-21 16:52:25,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/2 Politica de Tratamiento de datos/R206,Chrome 124.0.0.0,Boton General,,2024-05-21 16:52:25,2024-05-21 16:52:53,"28,258s",PASSED
