Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3 Campos Adicionales,Chrome 124.0.0.0,,,2024-05-21 16:57:16,2024-05-21 17:01:49,"4m - 32,784s",FAILED
,,,,,,,
Test Cases/Configuracion/5 Clientes/3 Campos Adicionales/R216,Chrome 124.0.0.0,Verificar campos,,2024-05-21 16:57:16,2024-05-21 16:57:45,"28,569s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 16:57:17,2024-05-21 16:57:32,"15,622s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 16:57:32,2024-05-21 16:57:33,"0,556s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:57:33,2024-05-21 16:57:35,"2,005s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 16:57:35,2024-05-21 16:57:35,"0,567s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:57:35,2024-05-21 16:57:37,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_3 Campos adicionales""))",Chrome 124.0.0.0,,,2024-05-21 16:57:37,2024-05-21 16:57:38,"0,611s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 16:57:38,2024-05-21 16:57:40,"2,009s",PASSED
"comment(""Verificar elementos"")",Chrome 124.0.0.0,,,2024-05-21 16:57:40,2024-05-21 16:57:40,"0,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/3Campos Adicionales/Edicion/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:57:40,2024-05-21 16:57:40,"0,445s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/3Campos Adicionales/Edicion/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 16:57:40,2024-05-21 16:57:41,"0,389s",PASSED
