Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4 Consultor Cliente,Chrome 124.0.0.0,,,2024-05-21 17:01:57,2024-05-21 17:07:21,"5m - 24,453s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/4 Consultor Cliente/R224,Chrome 124.0.0.0,Verificar Campos,,2024-05-21 17:01:57,2024-05-21 17:02:23,"26,014s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:01:58,2024-05-21 17:02:13,"15,511s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:02:13,2024-05-21 17:02:14,"0,538s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:14,2024-05-21 17:02:16,"2,022s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 17:02:16,2024-05-21 17:02:16,"0,552s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:16,2024-05-21 17:02:18,"2,018s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_4 Consultor cliente""))",Chrome 124.0.0.0,,,2024-05-21 17:02:18,2024-05-21 17:02:19,"1,107s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:19,2024-05-21 17:02:21,"2,021s",PASSED
"comment(""Verificar iconos"")",Chrome 124.0.0.0,,,2024-05-21 17:02:21,2024-05-21 17:02:21,"0,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/0 Principal/a_1 Configuracion consultor""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:02:21,2024-05-21 17:02:22,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/0 Principal/a_2 Configuracion proveedor""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:02:22,2024-05-21 17:02:22,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/0 Principal/a_3 Configuracion campos""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:02:22,2024-05-21 17:02:23,"0,393s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:02:23,2024-05-21 17:02:23,"0,668s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 17:02:23,2024-05-21 17:02:23,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/4 Consultor Cliente/R226,Chrome 124.0.0.0,Configuracion Consultor,,2024-05-21 17:02:23,2024-05-21 17:02:50,"26,753s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:02:24,2024-05-21 17:02:38,"14,788s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:02:38,2024-05-21 17:02:39,"0,604s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:39,2024-05-21 17:02:41,"2,010s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 17:02:41,2024-05-21 17:02:42,"0,590s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:42,2024-05-21 17:02:44,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_4 Consultor cliente""))",Chrome 124.0.0.0,,,2024-05-21 17:02:44,2024-05-21 17:02:44,"0,537s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:44,2024-05-21 17:02:46,"2,014s",PASSED
"comment(""Verificar iconos"")",Chrome 124.0.0.0,,,2024-05-21 17:02:46,2024-05-21 17:02:46,"0,000s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/0 Principal/a_1 Configuracion consultor""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:02:46,2024-05-21 17:02:47,"0,567s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:02:47,2024-05-21 17:02:49,"2,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Lista Consultores Clientes/td1_BaseDatosAgendamiento""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:02:49,2024-05-21 17:02:49,"0,408s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Lista Consultores Clientes/td2_ProveedorExterno""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:02:49,2024-05-21 17:02:49,"0,393s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:02:49,2024-05-21 17:02:50,"0,486s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 17:02:50,2024-05-21 17:02:50,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/4 Consultor Cliente/R227,Chrome 124.0.0.0,Cuadro Edición,,2024-05-21 17:02:50,2024-05-21 17:03:18,"28,193s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:02:50,2024-05-21 17:03:05,"14,806s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:03:05,2024-05-21 17:03:06,"0,577s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:06,2024-05-21 17:03:08,"2,006s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 17:03:08,2024-05-21 17:03:08,"0,575s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:08,2024-05-21 17:03:10,"2,007s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_4 Consultor cliente""))",Chrome 124.0.0.0,,,2024-05-21 17:03:10,2024-05-21 17:03:11,"0,533s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:11,2024-05-21 17:03:13,"2,002s",PASSED
"comment(""Verificar iconos"")",Chrome 124.0.0.0,,,2024-05-21 17:03:13,2024-05-21 17:03:13,"0,000s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/0 Principal/a_1 Configuracion consultor""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:03:13,2024-05-21 17:03:13,"0,511s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:13,2024-05-21 17:03:15,"2,005s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Edicion/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:03:15,2024-05-21 17:03:16,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Edicion/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:03:16,2024-05-21 17:03:16,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Edicion/label_Activo""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:03:16,2024-05-21 17:03:16,"0,383s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Edicion/select_Orden validacion""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:03:16,2024-05-21 17:03:17,"0,386s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Edicion/textarea_Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:03:17,2024-05-21 17:03:17,"0,378s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Edicion/textarea_Nombre""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:03:17,2024-05-21 17:03:18,"0,389s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:03:18,2024-05-21 17:03:18,"0,528s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 17:03:18,2024-05-21 17:03:18,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/5 Clientes/4 Consultor Cliente/R228,Chrome 124.0.0.0,Boton Limpiar,,2024-05-21 17:03:18,2024-05-21 17:03:50,"31,370s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:03:19,2024-05-21 17:03:33,"14,774s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:03:33,2024-05-21 17:03:34,"0,555s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:34,2024-05-21 17:03:36,"2,007s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_5 Clientes""))",Chrome 124.0.0.0,,,2024-05-21 17:03:36,2024-05-21 17:03:36,"0,546s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:36,2024-05-21 17:03:38,"2,017s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/0Principal/a_4 Consultor cliente""))",Chrome 124.0.0.0,,,2024-05-21 17:03:38,2024-05-21 17:03:39,"0,533s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:39,2024-05-21 17:03:41,"2,005s",PASSED
"comment(""Verificar iconos"")",Chrome 124.0.0.0,,,2024-05-21 17:03:41,2024-05-21 17:03:41,"0,000s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/0 Principal/a_1 Configuracion consultor""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:03:41,2024-05-21 17:03:42,"0,510s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:42,2024-05-21 17:03:44,"2,015s",PASSED
"click(findTestObject(""ADM/1Configuracion/5Clientes/4Consultor Cliente/1 Configuracion Consultor/Lista Consultores Clientes/td2_ProveedorExterno""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:03:44,2024-05-21 17:03:44,"0,438s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:03:44,2024-05-21 17:03:46,"2,013s",PASSED
