Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Servicios,Chrome 124.0.0.0,,,2024-05-21 17:07:30,2024-05-21 17:15:50,"8m - 19,634s",PASSED
,,,,,,,
Test Cases/Configuracion/6 Modelo Atencion/1 Servicios/R245,Chrome 124.0.0.0,Servicios,,2024-05-21 17:07:31,2024-05-21 17:07:56,"25,098s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:07:31,2024-05-21 17:07:46,"15,605s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:07:46,2024-05-21 17:07:47,"0,534s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:07:47,2024-05-21 17:07:49,"2,000s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_6 Modelo de atencion""))",Chrome 124.0.0.0,,,2024-05-21 17:07:49,2024-05-21 17:07:50,"1,236s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:07:50,2024-05-21 17:07:52,"2,014s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/0Principal/a_1 Servicios""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:07:52,2024-05-21 17:07:53,"0,370s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/0Principal/a_2 Servicios por oficinas""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:07:53,2024-05-21 17:07:53,"0,353s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:07:53,2024-05-21 17:07:55,"2,010s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:07:55,2024-05-21 17:07:56,"0,665s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 17:07:56,2024-05-21 17:07:56,"0,003s",PASSED
,,,,,,,
Test Cases/Configuracion/6 Modelo Atencion/1 Servicios/R246,Chrome 124.0.0.0,Botn Servicios verificar campos,,2024-05-21 17:07:56,2024-05-21 17:08:24,"28,263s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:07:56,2024-05-21 17:08:11,"14,706s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:08:11,2024-05-21 17:08:11,"0,625s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:11,2024-05-21 17:08:13,"2,017s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_6 Modelo de atencion""))",Chrome 124.0.0.0,,,2024-05-21 17:08:13,2024-05-21 17:08:14,"0,599s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:14,2024-05-21 17:08:16,"2,005s",PASSED
"click(findTestObject(""ADM/1Configuracion/6Modelo de atencion/0Principal/a_1 Servicios""))",Chrome 124.0.0.0,,,2024-05-21 17:08:16,2024-05-21 17:08:17,"1,394s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:17,2024-05-21 17:08:19,"2,005s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:08:19,2024-05-21 17:08:20,"0,783s",PASSED
"comment(""Verificación de campos"")",Chrome 124.0.0.0,,,2024-05-21 17:08:20,2024-05-21 17:08:20,"0,016s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/btn_Guardar""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:20,2024-05-21 17:08:20,"0,375s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/btn_Limpiar""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:20,2024-05-21 17:08:21,"0,361s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Codigo""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:21,2024-05-21 17:08:21,"0,377s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Diseno Descripcion""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:21,2024-05-21 17:08:22,"0,393s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/textarea_Diseno Requisitos""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:22,2024-05-21 17:08:22,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Tiempo por Cita (Minutos)""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:22,2024-05-21 17:08:22,"0,406s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/select_Tipo especialidad""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:22,2024-05-21 17:08:23,"0,391s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Nombre""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:08:23,2024-05-21 17:08:23,"0,364s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:08:23,2024-05-21 17:08:24,"0,775s",PASSED
Start listener action : sampleAfterTestCase,Chrome 124.0.0.0,,,2024-05-21 17:08:24,2024-05-21 17:08:24,"0,000s",PASSED
,,,,,,,
Test Cases/Configuracion/6 Modelo Atencion/1 Servicios/R247a,Chrome 124.0.0.0,Validar campos,,2024-05-21 17:08:24,2024-05-21 17:09:09,"44,745s",PASSED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:08:24,2024-05-21 17:08:39,"14,830s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:08:39,2024-05-21 17:08:40,"0,569s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:40,2024-05-21 17:08:42,"2,010s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_6 Modelo de atencion""))",Chrome 124.0.0.0,,,2024-05-21 17:08:42,2024-05-21 17:08:42,"0,550s",PASSED
"comment(""Validación de campos"")",Chrome 124.0.0.0,,,2024-05-21 17:08:42,2024-05-21 17:08:42,"0,000s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:42,2024-05-21 17:08:44,"2,014s",PASSED
"click(findTestObject(""ADM/1Configuracion/6Modelo de atencion/0Principal/a_1 Servicios""))",Chrome 124.0.0.0,,,2024-05-21 17:08:44,2024-05-21 17:08:45,"1,038s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:45,2024-05-21 17:08:47,"2,017s",PASSED
"comment(""Sin código"")",Chrome 124.0.0.0,,,2024-05-21 17:08:47,2024-05-21 17:08:47,"0,000s",PASSED
"setText(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Codigo""), """")",Chrome 124.0.0.0,,,2024-05-21 17:08:47,2024-05-21 17:08:48,"0,759s",PASSED
"setText(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Nombre""), findTestData(""7 Servicios"").getValue(""Nombre"", 8))",Chrome 124.0.0.0,,,2024-05-21 17:08:48,2024-05-21 17:08:50,"1,624s",PASSED
"click(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/img_Modo HTML Requisitos""))",Chrome 124.0.0.0,,,2024-05-21 17:08:50,2024-05-21 17:08:50,"0,443s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:50,2024-05-21 17:08:52,"2,009s",PASSED
"setText(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/textarea_HTML Requisitos""), findTestData(""7 Servicios"").getValue(""Requisitos"", 8))",Chrome 124.0.0.0,,,2024-05-21 17:08:52,2024-05-21 17:08:53,"0,948s",PASSED
"scrollToPosition(0, 500)",Chrome 124.0.0.0,,,2024-05-21 17:08:53,2024-05-21 17:08:53,"0,036s",PASSED
"click(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/img_Modo HTML Descripcion""))",Chrome 124.0.0.0,,,2024-05-21 17:08:53,2024-05-21 17:08:54,"0,428s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:54,2024-05-21 17:08:56,"2,005s",PASSED
"setText(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/textarea_HTML Descripcion""), findTestData(""7 Servicios"").getValue(""Descripción"", 8))",Chrome 124.0.0.0,,,2024-05-21 17:08:56,2024-05-21 17:08:57,"1,008s",PASSED
"setText(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/input_Tiempo por Cita (Minutos)""), findTestData(""7 Servicios"").getValue(""Tiempo Por Cita"", 1))",Chrome 124.0.0.0,,,2024-05-21 17:08:57,2024-05-21 17:08:58,"0,985s",PASSED
"selectOptionByLabel(findTestObject(""ADM/1Configuracion/6Modelo de atencion/1Servicios/Datos de Servicio/select_Tipo especialidad""), findTestData(""7 Servicios"").getValue(""Tipo Especialidad"", 1), false)",Chrome 124.0.0.0,,,2024-05-21 17:08:58,2024-05-21 17:08:58,"0,828s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:08:58,2024-05-21 17:09:00,"2,008s",PASSED
takeFullPageScreenshot(),Chrome 124.0.0.0,,,2024-05-21 17:09:00,2024-05-21 17:09:01,"0,781s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:09:01,2024-05-21 17:09:03,"2,009s",PASSED
