Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 Servicios por Oficinas,Chrome 124.0.0.0,,,2024-05-21 17:15:59,2024-05-21 17:21:00,"5m - 1,589s",FAILED
,,,,,,,
Test Cases/Configuracion/6 Modelo Atencion/2 Servicios Por oficinas/R254,Chrome 124.0.0.0,Boton servicios por oficina,,2024-05-21 17:15:59,2024-05-21 17:16:27,"28,045s",FAILED
"callTestCase(findTestCase(""0InicioSesion""), [:], STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:15:59,2024-05-21 17:16:15,"15,717s",PASSED
"click(findTestObject(""ADM/0Principal/a_Configuracion""))",Chrome 124.0.0.0,,,2024-05-21 17:16:15,2024-05-21 17:16:16,"0,624s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:16:16,2024-05-21 17:16:18,"2,004s",PASSED
"click(findTestObject(""ADM/1Configuracion/0Principal/a_6 Modelo de atencion""))",Chrome 124.0.0.0,,,2024-05-21 17:16:18,2024-05-21 17:16:18,"0,587s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:16:18,2024-05-21 17:16:20,"2,011s",PASSED
"click(findTestObject(""ADM/1Configuracion/6Modelo de atencion/0Principal/a_2 Servicios por oficinas""), STOP_ON_FAILURE)",Chrome 124.0.0.0,,,2024-05-21 17:16:20,2024-05-21 17:16:21,"0,568s",PASSED
delay(2),Chrome 124.0.0.0,,,2024-05-21 17:16:21,2024-05-21 17:16:23,"2,015s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/2Servicios por oficinas/Direcciones Seccionales/select_Direccion Seccional(oficina)""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:16:23,2024-05-21 17:16:23,"0,379s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/2Servicios por oficinas/Direcciones Seccionales/select_Tipo Cliente""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:16:23,2024-05-21 17:16:24,"0,392s",PASSED
"verifyElementPresent(findTestObject(""ADM/1Configuracion/6Modelo de atencion/2Servicios por oficinas/Direcciones Seccionales/a_1 G.G.Informacion_Editar""), 2)",Chrome 124.0.0.0,,,2024-05-21 17:16:24,2024-05-21 17:16:27,"3,398s",FAILED
